0.974 -0.865
0.564 0.011
0.477 0.124
-0.803 -0.838
0.822 -0.539
-0.580 -0.799
0.337 0.461
0.882 0.634
0.501 -0.441
0.601 0.300
0.641 0.409
0.599 -0.876
0.451 0.581
0.276 -0.890
0.990 0.361
0.565 0.793
0.906 0.708
0.564 -0.630
-0.316 0.070
0.427 0.502
-0.103 -0.544
-0.184 0.191
-0.323 -0.811
0.248 -0.302
0.742 -0.548
0.172 -0.242
0.175 -0.768
0.964 -0.554
0.494 0.547
0.274 0.161
0.238 -0.155
-0.294 0.070
0.235 0.014
0.686 0.052
0.095 -0.218
-0.807 -0.466
0.985 -0.930
0.482 -0.793
-0.046 0.145
0.835 0.018
0.344 0.235
0.349 0.377
0.881 0.726
-0.766 -0.405
0.059 -0.424
0.830 -0.688
0.694 0.124
0.638 -0.305
0.986 0.794
0.416 -0.045
-0.481 -0.286
0.248 -0.229
-0.988 -0.606
-0.399 -0.958
0.383 0.116
0.182 -0.394
-0.381 -0.733
0.099 0.477
-0.030 0.106
0.314 -0.109
0.275 -0.350
0.483 -0.391
0.172 -0.521
0.583 -0.936
0.424 0.272
0.126 -0.885
0.785 0.343
-0.553 -0.963
0.955 0.813


-0.888 0.243
0.534 0.887
-0.218 0.769
-0.838 0.226
0.005 0.809
-0.558 0.482
0.214 0.599
-0.281 0.373
-0.666 0.681
-0.029 0.889
-0.928 0.069
0.155 0.550
-0.284 0.448
-0.599 0.707
-0.688 -0.074
-0.665 0.783
-0.984 0.794
-0.273 0.535
-0.680 0.669
-0.097 0.937
-0.830 -0.169
0.359 0.932
-0.454 0.591
-0.806 0.071
-0.898 0.303
0.016 0.959
-0.228 0.845
-0.513 0.473
-0.892 0.168
-0.884 0.002
-0.847 0.061
